Time(s),CH1,CH2
0.0,5000000.0,20000000.0
0.09999999999999999,5000000.0,19999990.0
0.19999999999999998,5000000.0,20000000.0
0.3,5000000.0,19999990.0
0.39999999999999997,4999990.0,20000000.0
0.5,5000000.0,19999990.0
0.6,5000000.0,20000000.0
0.7,5000000.0,19999990.0
0.7999999999999999,5000000.0,20000000.0
0.9,5000000.0,19999990.0
1.0,5000000.0,19999990.0
1.1,4999990.0,20000000.0
1.2,5000000.0,19999990.0
1.3,5000000.0,20000000.0
1.4,5000000.0,19999990.0
1.5,5000000.0,20000000.0
1.5999999999999999,5000000.0,19999990.0
1.7,5000000.0,20000000.0
1.8,4999990.0,19999990.0
1.9,5000000.0,19999990.0
2.0,5000000.0,20000000.0
2.1,5000000.0,19999990.0
2.2,5000000.0,20000000.0
2.3,5000000.0,19999990.0
2.4,5000000.0,20000000.0
2.5,5000000.0,19999990.0
2.6,4999990.0,20000000.0
2.6999999999999997,5000000.0,19999990.0
2.8,5000000.0,19999990.0
2.9,5000000.0,20000000.0
3.0,5000000.0,19999990.0
3.1,5000000.0,20000000.0
3.1999999999999997,5000000.0,19999990.0
3.3,4999990.0,20000000.0
3.4,5000000.0,19999990.0
3.5,5000000.0,20000000.0
3.6,5000000.0,19999990.0
3.6999999999999997,5000000.0,19999990.0
3.8,5000000.0,20000000.0
3.9,5000000.0,19999990.0
4.0,4999990.0,20000000.0
4.1,5000000.0,19999990.0
4.2,5000000.0,20000000.0
4.3,5000000.0,19999990.0
4.4,5000000.0,20000000.0
4.5,5000000.0,19999990.0
4.6,5000000.0,19999990.0
4.7,4999990.0,20000000.0
4.8,5000000.0,19999990.0
